Kingdom,Phylum,Class,Order,Family,Genus,Sediment,,,,Water,,,,Algae,,,,,,,,,
,,,,,,DSD,GISD,PSD,CSD,DW,GIW,PW,CW,GIDd,CDd,DPa,GIPa,PPa,CPa,DSp,GISp,PSp,CSp
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Bacteria,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Flavilitoribacter,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Fulvivirgaceae,Fulvivirga,5,3,3,2,3,0,2,2,4,3,4,2,2,0,3,2,2,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Geminicoccaceae,Geminicoccus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Hyunsoonleella,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,2,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
