Kingdom,Phylum,Class,Order,Family,Genus,Sediment,,,,Water,,,,Algae,,,,,,,,,
,,,,,,DSD,GISD,PSD,CSD,DW,GIW,PW,CW,GIDd,CDd,DPa,GIPa,PPa,CPa,DSp,GISp,PSp,CSp
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Corallomonas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Daejeonella,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinobacterium,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Desemzia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
Bacteria,Proteobacteria,delta/epsilon,Desulfobacterales,Desulfobacteraceae,Desulfobacter,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Bacteria,Proteobacteria,delta/epsilon,Desulfobacterales,Desulfobacteraceae,Desulfoluna,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfobacterales,Desulfobacteraceae,Desulfospira,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Domibacillus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,6,3,4,3,3,1,1,1,6,3,5,7,7,7,6,6,4,5
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,0,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Flavonifractor,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfuromonadales,Geobacteraceae,Geoalkalibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gilvibacter,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,14,6,10,11,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Gorillibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,0,0,0,0,1,1,1,2,1,0,1,1,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Campylobacterales,Arcobacteraceae,Halarcobacter,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Haloferula,5,0,2,1,1,0,0,1,1,0,3,0,1,0,2,0,1,0
Bacteria,Proteobacteria,delta/epsilon,Campylobacterales,Helicobacteraceae,Helicobacter,2,2,1,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,incertae sedis Exiguobacterium,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,incertae sedis Gemella,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,incertae sedis Intestinimonas,1,1,1,2,0,0,1,0,2,0,0,2,1,1,0,1,1,1
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Kaistiaceae,Kaistia,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1
Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Lacipirellulaceae,Lacipirellula,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,3,3,3,3,3,2,2,2,3,3,3,3,3,4,3,4,3,2
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Lampropedia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,2,2,2,2,1,1,1,1,3,2,2,3,2,2,2,2,2,1
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bacteria,Proteobacteria,delta/epsilon,Bradymonadales,Bradymonadaceae,Lujinxingia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,2,1,1,1,1,1,1,1,0,1,2,1,1,0,3,1,1,0
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Campylobacterales,Arcobacteraceae,Malaciobacter,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Bacteria,Proteobacteria,delta/epsilon,Desulfuromonadales,Desulfuromonadaceae,Malonomonas,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,1,3,2,3,2,1,3,2,5,2,5,2,2,2,4,6,2,2
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Massiliprevotella,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesonia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylophilus,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Methyloversatilis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Moheibacter,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,1,2,0,1,0,0,0,0,1,0,0,0,2,1,2,1,2,1
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Neobacillus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,5,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Oceanirhabdus,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Oleiharenicola,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Oscillibacter,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingosinicellaceae,Pacificimonas,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Paracnuella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Parageobacillus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Parendozoicomonas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Patulibacter,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Pelagicoccus,4,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,2,1,1,1,1,0,1,0,0,0,0,0,1,0,2,0,1,0
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Peribacillus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Persicirhabdus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,1,0,1,1,1,1,0,0,2,1,1,2,1,1,0,1,2,1
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Myxococcales,Nannocystaceae,Plesiocystis,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pontibacillus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium,0,1,1,1,1,2,1,1,2,1,2,1,1,0,1,0,4,0
Bacteria,Proteobacteria,delta/epsilon,Myxococcales,Nannocystaceae,Pseudenhygromyxa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Puniceicoccus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobaca,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Roseburia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Roseibacillus,5,1,0,2,2,1,1,1,3,4,5,2,1,0,5,4,3,1
Bacteria,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Roseimaritima,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rouxiella,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Rubritalea,8,2,3,1,4,2,3,4,3,3,3,1,0,0,5,4,1,1
Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubrivirga,3,0,0,0,0,1,2,2,0,0,2,1,2,0,1,0,0,0
Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,3,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,1,0,0,1,1,0,1,0,0,1,0,2,1,1,1,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruthenibacterium,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Salinimonas,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,incertae sedis,incertae sedis,Sedimenticola,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium/Ensifer,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1
Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Spongitalea,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Sporacetigenium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,2,2,2,2,2,2,1,1,2,3,1,3,3,1,1,2,1,2
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,1,1,0,0,0,1,1,0,2,1,1,0,1,0,0,1,1,1
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfuricaulis,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Campylobacterales,Thiovulaceae,Sulfurimonas,2,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,delta/epsilon,Campylobacterales,Campylobacteraceae,Sulfurospirillum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Bacteria,Firmicutes,Clostridia,Eubacteriales,Symbiobacteriaceae,Symbiobacterium,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Temperatibacteraceae,Temperatibacter,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Thalassobaculaceae,Thalassobaculum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Thiomicrorhabdus,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Thiovirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Turicimonas,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1
Bacteria,Firmicutes,Clostridia,Eubacteriales,Vallitaleaceae,Vallitalea,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
