#NAME,CDd1,CDd2,CDd3,GIDd1,GIDd2,GIDd3,CPa1,CPa2,CPa3,GIPa1,GIPa2,GIPa3,DPa1,DPa2,DPa3,PPa1,PPa2,PPa3,CSp1,CSp2,CSp3,GISp1,GISp2,GISp3,DSp1,DSp2,DSp3,PSp1,PSp2,PSp3
D-Carnitine,57246787.87,6653611.558,1228754.233,10538376.09,13051986.95,33666312.06,167088.979,1661563.9,306482.662,2878248.186,1860381.476,4456378.358,591259.5115,273373.2311,1061223.332,27875279.37,109869.1613,175624.6798,1619785.288,700878.0438,481923.5587,152922.9352,269955.475,3855268.778,4297824.85,4365724.443,4385714.392,1928858.663,6294685.53,4777816.441
deacetylcolchicine,1169186.483,1126637.938,676374.0769,334575.3171,326633.2208,320557.1527,246792.5312,127669.1914,195294.1011,219585.7203,372906.7981,361251.1361,575107.3064,296261.892,338433.8245,1255922.03,450688.1229,1690496.035,121108.2779,109579.9595,156318.9911,1142846.229,1200579.88,1067201.521,204415.406,321560.2623,452620.9339,512579.906,231259.6829,464253.9304
Decanoylcarnitine,374845.3909,399802.3357,181181.2649,35445.81861,39711.31749,20947.8415,18612.36736,21813.8728,22576.78847,20647.94118,28074.1167,33470.86229,18256.33945,22190.39698,14959.52631,220946.009,86833.30977,290448.0518,12806.72315,26792.06103,19980.7511,169455.4926,287103.0831,280664.368,22803.56814,40135.65508,39295.26618,37348.48114,173211.5267,82233.91457
Decylubiquinol,1270980.166,2563600.902,1818092.938,68778.16351,72628.99133,65707.80721,41543.51207,26645.28935,35942.32493,36316.29966,25284.70512,52086.65769,25196.66233,36546.57237,25247.95764,101216.4738,78011.55355,64685.67581,13651.82388,27092.73048,21613.30443,90906.20005,102425.6705,84571.6902,46599.85927,48890.1352,25459.77572,44601.90375,71241.52409,55214.36618
Demethoxyfumitremorgin C,52803.36292,52321.41026,41521.94526,195555.7595,56859.94665,47239.32299,44613.11023,12657.96071,25759.46101,12626.84113,65432.55481,14907.87432,14415.22226,131804.036,12698.26987,79757.10222,96671.31303,29595.53361,6768.762343,86914.21145,25032.26066,91060.08984,35195.18072,109388.9835,88393.48826,32299.37772,31537.65224,41106.63872,431337.2886,195640.8897
Dethiobiotin,1588721.01,300965.7315,131304.4045,110465.0842,59556.70287,346456.465,26727.91817,15201.59584,22180.05755,136338.2972,72734.34471,124748.9142,3495.462326,4971.267116,13339.91513,331027.0497,258663.7151,154414.547,27738.3835,48304.73019,39911.55678,1339204.891,1259399.083,1019559.229,69041.44771,252458.714,413060.1985,80775.86086,83543.94745,29835.70325
Diamidafos,302440.1759,73311.24392,108853.1983,101487.9449,99390.29198,19321.01885,702.6864472,847.2492112,421.1731497,8639.058894,676.2403064,2015.730945,28484.77171,48003.90933,58260.93758,475610.5891,91294.78153,103396.2842,8591.320882,6951.733663,7483.767273,194566.2812,312556.8367,208135.29,45876.91631,11076.39936,15742.69274,12248.49635,45116.82878,28582.8709
Dibutyl sebacate,1274893.785,1344533.15,962550.4044,704287.7691,718221.251,628646.7568,473531.8436,253296.006,489571.8156,639321.3176,627076.2226,193381.2647,299483.3279,495944.5128,73360.09253,2119976.054,2201654.808,2488423.762,338455.1152,249634.4423,138845.8513,2964729.011,2640172.915,22538458.64,404828.7916,633949.7372,407170.3695,304539.4864,79096.51592,445424.5784
Dicyclohexylamine,52318.79473,59337.84068,58482.62474,39054.03374,36927.32742,56124.64596,18213.0397,21431.54377,11652.90975,53250.1877,19936.17157,23451.90678,93294.23905,29660.32726,41848.02012,70434.48932,41963.20728,140298.8373,24439.34226,9194.054221,16096.48811,51943.9349,87492.42307,31348.27184,27873.26817,116764.6299,133335.0579,29308.99143,25374.92569,91757.39059
D-Iditol,368082.8216,45228.80489,36008.85597,12266.6203,13472.44913,24630.16521,10238.78613,6216.046617,4980.075399,5800.544306,1864.28157,14687.60739,3530.25868,4547.295978,12023.84925,119495.8259,69916.96317,141228.6516,70702.92349,51096.13374,81131.80763,698408.943,458125.9893,155544.6591,50274.68343,393013.142,31592.43939,152395.4267,149133.4198,50376.71261
Diethanolamine,777206.9354,350195.9074,520147.1702,538525.0703,615447.2201,539010.6869,856031.828,488410.7183,395424.8882,540000.8828,510485.2548,296513.5943,789841.603,525182.3174,199834.8273,759695.5676,802811.4402,450568.83,201339.4124,614254.3173,157472.9364,713157.577,719191.6058,841221.1309,245471.1461,608866.9335,461186.9401,516059.5626,614530.2195,764495.6885
Dihydrophaseicacid,285578.3931,799284.6457,131732.5764,116950.8357,407060.1284,187871.965,53422.65275,91503.39922,238787.5472,260012.902,131008.5283,440019.5216,300043.7338,363295.2087,157285.2491,959427.1273,310646.8107,203636.4753,48846.77188,61702.42529,37653.71485,1008877.55,176886.705,183500.6624,62504.13251,337592.7921,73472.59065,68723.94353,138167.3219,573868.0796
Dihydropteridine,307510.5851,471440.429,231166.8583,28393.93866,11941.77738,2234.424499,1096.372364,1218.442774,858.9103724,1196.940516,661.770284,1449.110413,5847.879449,2302.813967,706.1515888,74962.66785,148117.0203,237892.3307,6569.150247,5288.43883,2916.068784,179077.7179,106340.2766,135657.4037,11272.27188,16904.07644,18159.14945,4511.221323,17980.56525,4470.528936
DL-Carnitine,57456689.26,6653611.558,11542290.99,10538376.09,13051986.95,403340.956,29510.65701,61123.93677,42350.77984,89019.13216,38596.70418,36454.89802,410248.9495,10206.82024,4215.042925,28138358.22,1534746.058,101888.1549,188346.3244,35390.98597,49953.91849,196273.6831,170083.4102,1108767.779,4285369.701,3454232.584,4385714.392,245329.023,438516.725,101268.995
DL-Tryptophan,32496.00516,44107.94042,62889.86797,14842.21097,15002.69475,847995.0262,16714.84248,16583.97623,7942.388758,16691.01998,17242.27273,15149.77655,12010.20042,14204.14526,11481.79829,134247.8304,34716.85797,53434.61956,9774.320534,10242.8282,12113.47014,69768.43361,55456.13328,311768.2032,9509.110857,59572.9991,33159.44478,37965.57377,109335.9656,30050.89921
DL-?-Leucine,414561.3364,224189.4777,12161.3779,14013.27775,11468.2017,70497.98715,141826.2738,188309.7386,65249.37622,127296.2407,63088.32348,32684.71947,39072.19345,158688.3443,100081.2287,3140191.611,2779532.168,1525135.089,172114.2585,64163.75638,259504.5209,277504.3152,2153287.164,377694.6507,167738.5577,89908.71437,203763.1174,33981.16138,205899.9701,26405.45286
Docosahexaenoicacid,31391.4986,269905.3417,244914.6023,5360.822183,3590.950444,37668.07009,3783.799446,3821.489357,3760.900522,3719.395753,3710.563484,4085.170292,3040.012158,4038.274837,2925.511017,7465.258057,7671.174204,7773.269415,3167.54662,3454.699598,2290.904629,7120.66205,7009.610028,6505.719984,4622.568227,4285.418094,3704.300541,5361.441927,5173.767915,6299.597774
