Domain,Phylum,Class,Order,Family,Genus,Species,#NAME,Sediment,,,Water,,,,Algae,,,,,,,,,
,,,,,,,,DSD,PSD,CSD,DW,GIW,PW,CW,CDd,CPa,CSp,DPa,DSp,GIDd,GIPa,GISp,PPa,PSp
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina agarilytica,Aquimarina agarilytica,0,0,0,0,0,0,0,25,0,0,0,0,0,2,5,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina agarivorans,Aquimarina agarivorans,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina aggregata,Aquimarina aggregata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina algicola,Aquimarina algicola,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina algiphila,Aquimarina algiphila,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina litoralis,Aquimarina litoralis,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina longa,Aquimarina longa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina mytili,Aquimarina mytili,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina pacifica,Aquimarina pacifica,0,0,0,0,0,0,0,10,0,0,0,1,1,5,5,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina,Aquimarina sediminis,Aquimarina sediminis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
